data,produto,ano,mes,periodo_mes,dia_da_semana,preco_concorrente,preco_praticado,historico_vendas_7d,historico_vendas_30d,estoque,demanda
2023-07-22,Vergalhão de Aço,2023,7,Fim_Mes,5,55.82,47.69,258.6,250.9,715,127
2023-07-23,Vergalhão de Aço,2023,7,Fim_Mes,6,55.61,55.0,259.7,250.5,1805,70
2023-07-24,Vergalhão de Aço,2023,7,Fim_Mes,0,54.77,51.24,259.6,242.6,1112,316
2023-07-25,Vergalhão de Aço,2023,7,Fim_Mes,1,53.73,56.74,231.1,251.8,1152,204
2023-07-26,Vergalhão de Aço,2023,7,Fim_Mes,2,53.24,50.43,189.7,257.1,1880,309
2023-07-27,Vergalhão de Aço,2023,7,Fim_Mes,3,54.97,62.48,199.0,256.9,1258,134
2023-07-28,Vergalhão de Aço,2023,7,Fim_Mes,4,55.76,55.22,190.9,253.1,630,217
2023-07-29,Vergalhão de Aço,2023,7,Fim_Mes,5,56.04,59.35,196.7,253.3,948,47
2023-07-30,Vergalhão de Aço,2023,7,Fim_Mes,6,55.96,65.74,185.3,249.5,1309,40
2023-07-31,Vergalhão de Aço,2023,7,Fim_Mes,0,55.26,47.31,181.0,244.8,1834,401
2023-08-01,Vergalhão de Aço,2023,8,Inicio_Mes,1,56.12,52.78,193.1,255.9,1348,463
2023-08-02,Vergalhão de Aço,2023,8,Inicio_Mes,2,57.08,52.41,230.1,269.1,614,500
2023-08-03,Vergalhão de Aço,2023,8,Inicio_Mes,3,56.31,59.02,257.4,274.3,1497,291
2023-08-04,Vergalhão de Aço,2023,8,Inicio_Mes,4,54.1,55.25,279.9,275.7,663,293
2023-08-05,Vergalhão de Aço,2023,8,Inicio_Mes,5,56.7,49.74,290.7,274.0,1414,183
2023-08-06,Vergalhão de Aço,2023,8,Inicio_Mes,6,55.54,52.5,310.1,272.2,1080,136
2023-08-07,Vergalhão de Aço,2023,8,Inicio_Mes,0,55.19,57.23,323.9,260.5,1242,343
2023-08-08,Vergalhão de Aço,2023,8,Inicio_Mes,1,56.83,62.04,315.6,269.5,890,275
2023-08-09,Vergalhão de Aço,2023,8,Inicio_Mes,2,55.72,56.49,288.7,271.2,1405,364
2023-08-10,Vergalhão de Aço,2023,8,Inicio_Mes,3,57.63,51.01,269.3,263.2,701,494
2023-08-11,Vergalhão de Aço,2023,8,Meio_Mes,4,56.39,60.74,298.3,263.6,1187,211
2023-08-12,Vergalhão de Aço,2023,8,Meio_Mes,5,57.23,63.74,286.6,257.1,1537,57
2023-08-13,Vergalhão de Aço,2023,8,Meio_Mes,6,57.17,55.4,268.6,251.5,723,90
2023-08-14,Vergalhão de Aço,2023,8,Meio_Mes,0,56.45,51.43,262.0,245.8,1331,409
2023-08-15,Vergalhão de Aço,2023,8,Meio_Mes,1,56.97,63.59,271.4,255.5,1489,198
2023-08-16,Vergalhão de Aço,2023,8,Meio_Mes,2,57.49,53.6,260.4,259.7,1260,378
2023-08-17,Vergalhão de Aço,2023,8,Meio_Mes,3,57.08,51.92,262.4,255.2,1366,359
2023-08-18,Vergalhão de Aço,2023,8,Meio_Mes,4,55.47,64.07,243.1,250.7,1910,157
2023-08-19,Vergalhão de Aço,2023,8,Meio_Mes,5,56.61,64.22,235.4,247.8,1740,64
2023-08-20,Vergalhão de Aço,2023,8,Meio_Mes,6,57.68,49.73,236.4,243.5,1404,149
2023-08-21,Vergalhão de Aço,2023,8,Fim_Mes,0,56.21,49.21,244.9,242.6,1539,364
2023-08-22,Vergalhão de Aço,2023,8,Fim_Mes,1,58.05,50.59,238.4,250.5,1025,364
2023-08-23,Vergalhão de Aço,2023,8,Fim_Mes,2,58.26,55.65,262.1,260.3,1444,277
2023-08-24,Vergalhão de Aço,2023,8,Fim_Mes,3,56.99,52.82,247.7,259.0,632,270
2023-08-25,Vergalhão de Aço,2023,8,Fim_Mes,4,56.79,65.87,235.0,261.2,1678,126
2023-08-26,Vergalhão de Aço,2023,8,Fim_Mes,5,56.14,56.61,230.6,255.1,1447,86
2023-08-27,Vergalhão de Aço,2023,8,Fim_Mes,6,56.21,55.59,233.7,253.5,1595,91
2023-08-28,Vergalhão de Aço,2023,8,Fim_Mes,0,56.23,54.38,225.4,249.3,987,261
2023-08-29,Vergalhão de Aço,2023,8,Fim_Mes,1,55.59,48.02,210.7,256.5,624,365
2023-08-30,Vergalhão de Aço,2023,8,Fim_Mes,2,56.62,55.31,210.9,267.3,1517,257
2023-08-31,Vergalhão de Aço,2023,8,Fim_Mes,3,57.7,67.03,208.0,262.5,1230,113
2023-09-01,Vergalhão de Aço,2023,9,Inicio_Mes,4,55.41,65.22,185.6,250.8,912,163
2023-09-02,Vergalhão de Aço,2023,9,Inicio_Mes,5,56.78,59.65,190.9,239.6,1292,96
2023-09-03,Vergalhão de Aço,2023,9,Inicio_Mes,6,55.88,51.56,192.3,233.1,851,140
2023-09-04,Vergalhão de Aço,2023,9,Inicio_Mes,0,55.85,48.54,199.3,228.0,1908,561
2023-09-05,Vergalhão de Aço,2023,9,Inicio_Mes,1,58.04,62.67,242.1,240.6,807,251
2023-09-06,Vergalhão de Aço,2023,9,Inicio_Mes,2,55.88,51.63,225.9,244.4,1324,458
2023-09-07,Vergalhão de Aço,2023,9,Inicio_Mes,3,58.11,51.15,254.6,248.3,1784,482
2023-09-08,Vergalhão de Aço,2023,9,Inicio_Mes,4,55.73,63.72,307.3,255.2,1890,177
2023-09-09,Vergalhão de Aço,2023,9,Inicio_Mes,5,56.66,60.41,309.3,248.9,1343,90
2023-09-10,Vergalhão de Aço,2023,9,Inicio_Mes,6,56.12,54.6,308.4,235.5,950,114
2023-09-11,Vergalhão de Aço,2023,9,Meio_Mes,0,56.22,49.29,304.7,232.2,897,427
2023-09-12,Vergalhão de Aço,2023,9,Meio_Mes,1,55.65,62.93,285.6,244.6,1268,167
2023-09-13,Vergalhão de Aço,2023,9,Meio_Mes,2,58.89,66.08,273.6,247.1,1069,165
